HotelName,Date of review,Rating,Title,Description,Date of stay,Trip type,Room Tip
"Mandarin Oriental, Singapore",Feb-20,5,Three people made my day!,"To Mario (bell man), who actually went on his way to talk and help me yesterday about my queries, thank you very much -- it was very nice and kind of you. It felt welcoming to enter your hotel that day because of you. To Nancy of Melt Cafe, thank you very much for your wonderful service -- your chats and smiles in between the service didn't made me feel lonely even if I was dining alone. To Rolando, thank you for your assistance when I needed some papers to be printed and it didn't feel like I was bothering you at all. Instead, you were ready to help me out.  Thank you Mandarin Oriental Singapore for having great people who carries your name and standard so well.",Feb-20,,
"Mandarin Oriental, Singapore",Aug-20,5,Staycation,It was an anniversary celebration. It happen that it is during this covid period where we can't travel. Hence we booked MO for our celebration. It was above our expectation. Will definitely come back and stay again.,Aug-20,,
"Mandarin Oriental, Singapore",Feb-20,5,Great experience/ wonderful staff,Well we ended up in Singapore by surprise  as our cruise ship was â€œquarantined â€œ at sea for 15 days and we were rejected in Hong Kong Taiwan and Manila because of theâ€corona virusâ€ The Mandarin was a great choice itâ€™s one of the older hotels in Singapore but still one of the best  Centrally located you can walk to everything with great views from our Bay view room  Pool area was dreamy we spent the hot steamy day lounging in a cabana pool side //it was perfect  The â€œ Meltâ€ buffet restaurant was over the top with so many options that you will be forced to eat way more than you thought possible  Great staff friendly and helpful Planning to be back new year for another cruise and will definitely stay here,Feb-20,,
"Mandarin Oriental, Singapore",Jul-20,5,Great Stay!,"The staff was really on point with all the needed precautions and processes  to make my stay a safe one. Thank you, Mandarin Oriental staff! What I loved: * Great room interiors * Spacious room * Beautiful balcony view * Very attentive staff",Jul-20,,
"Mandarin Oriental, Singapore",Apr-20,5,Mini-honeymoon Staycation - Excellent Service!,"Our honeymoon got scrapped with the ongoing Covid-19 situation, so in the end opted for a short 2 night staycation here instead.  Got a ocean-view room at one of the highest floors.. Lovely view!  Big room, excellent amenities.. Room was very well equipped with all the amenities you would expect of a luxury hotel - no complaints there. Room furnishings were lovely, and carpet was very clean! Only thing was the ceiling light was a bit faulty, flickered on and off intermittently and wasn't the most responsive on the switches - but wasn't too much of a bother to me.  Hotel facilities - lovely pool with excellent view of the Marina Bay skyline. The pool itself had beautifully tiled mosaic bottoms, with marble sides. A choice of various lovely in house restaurants, including Meltâ€¦",Mar-20,,
"Mandarin Oriental, Singapore",Feb-20,5,24 Hours of Pure Luxury,"Private check-in, Champagne, Freshly shucked oysters and a panoramic view of the Marina Bay Area. My 1 night stay at the Mandarin Oriental, Singapore has been pure luxury. As a Marriott Bonvoy Titanium Elite guest, I often default to Marriott properties due the complimentary lounge access, upgrades & late check-out etc. However, I have always wanted to stay at The Mandarin.  When we arrived, we were assisted by a dedicated staff manning the entry and exit points, checking our temperatures and offering us hand sanitizers as a safety precaution due to the Coronavirus outbreak happening now. It was comforting to know that the hotel has various measures in place to ensure the health and safety of the guests.  We were then checked-in by Ee May in the lobby at about 1817Hrs. We wereâ€¦",Feb-20,,
"Mandarin Oriental, Singapore",Mar-20,5,Excellent Experience Ever,"The Service, Accommodation and Food was great. Overall it was an excellent experience ever by concierge Rolando.   Hotel Room view was stunniningly awesome! â­â­â­â­â­ thehotel location is accesible and convenient",Mar-20,,
"Mandarin Oriental, Singapore",Feb-20,4,Excellent Service,"This is a relatively old hotel compared to the many new ones in Singapore. It has a small lobby focussed on check in and check out with a concierge desk on the ground floor.   I used the Club lounge facilities and therefore check-in was in the room which was quick and friendly. The lounge on Level 19 is very comfortable with many places to sit with sufficient space between tables to enable private conversations which is rare in some lounges. Breakfast, lunch and tea/cocktails are served and the quality and variety are very good. The staff are experienced and make you feel very comfortable and relaxed and they can handle most issues easily. All quiet and discreet.   The bedroom is of the old style and therefore small. However, its well maintained with plugs and sockets all in theâ€¦",Feb-20,,
"Mandarin Oriental, Singapore",Mar-20,5,Fabulous Birthday Staycation,"MANDARIN ORIENTAL, SINGAPORE!! Remember this name because it is the best hotel in Singapore!! I have stayed in this hotel twice and each time they pleasantly surprise me. I am so happy to revisit this place for my birthday staycation with my husband and 2 kids (3 YO and 9 months).  I will start from the entrance of the hotel where they ensured no guests were running a fever amidst the COVID-19 situation, and with the help of the very friendly receptionist we got our room key cards promptly!  *Tip - I signed up to be Fan of MO (free of charge) and received 2 free house wine / signature cocktails to be enjoyed at MOBar. The atmosphere in the bar was fantastic, and best of all, on the house!  When I opened the doors to the Ocean View Room, my jaws just dropped because (a) the viewâ€¦",Mar-20,,
"Mandarin Oriental, Singapore",Feb-20,4,Short efficient biz trip,Lovely hotel and well managed. Great location but only let me down on 1) breakfast quality and 2) a ridiculous system of no credit for being a Fan of Mandarin Oriental member because my secretary booked and paid  on Expedia as they forbid credits to accumulate if paid via a 3rd party....I would easily visit again but might need to sort out some kinks...,Feb-20,,
"Mandarin Oriental, Singapore",Mar-20,5,Staycation,"Booked the marina bay view suite for my proposal. Everything was great, Hotel staff were very welcoming, gracious and helpful. Would recommend anybody to come here for a staycation during this period!",Mar-20,,
"Mandarin Oriental, Singapore",Feb-20,2,"Great Staff, But Everything Else Gets a Thumbs Down.",".  On a month long trip around Asia we had expected the Mandarin Oriental Singapore to be really fabulous, it is after all billed as a Luxury 5* hotel. It was certainly the most expensive. Yet it was the biggest disappointment. And despite paying for the Oriental Club Level and one of the larger scenic marina views, it was the smallest room weâ€™ve ended up with in a hotel in years, with a midget sized bath.   The layout of the hotel itself is also unappealing, like a car park with a vast central atrium where you look upwards to see every floor, almost prison like. And unlike some other MO hotels, this one had no grand lobby or seating area. In truth, they are more interested in hiring out parts of the lobby for conferences and weddings, which you can easily mistakenly walk into.â€¦",Jan-20,,
"Mandarin Oriental, Singapore",Feb-20,5,Mandarin Oriental - Of couse it is great,"It is the 5th time we have stayed at this hotel, like its sister hoteld it ticks all the boxes. Rooms are spacious with great views, the food is excellent and the swimming pool area is a great place to soak up the sun and look at the marina.",Jul-19,,
"Mandarin Oriental, Singapore",Mar-20,5,Reliably great,"Weâ€™ve been here many times over the years but the last visit was a few years ago and Iâ€™d forgotten just how good it is. Staff everywhere are competent and friendly but the the Oriental Club lounge staff are exceptionally good as it the lounge. Well worth paying for a club access room for all the benefits the lounge has to offer.  Melt Cafe is misleadingly named, it is a huge restaurant that has a vast array of cuisines to chose from on the buffet, all well prepared. The DimSum at Cherry Blossom was excellent. Rooms are very nice, especially Marina Bay side.",Mar-20,,
"Mandarin Oriental, Singapore",Mar-20,5,The Oriental Club is money well spent,"My wife and I spent 6 nights in the hotel in a King Club room which had terrific views out over the marina.  The room, as you would expect in a 5 star hotel, was very well serviced and immaculate.  Initially we were a little nervous about visiting Singapore with the ongoing Covid 19 outbreak which seemed to have hit Singapore quite badly initially.  Our nervousness was misplaced, the country seems to have a grip on it and the hotel had in place heat monitors so nobody entered the premises without being checked on their way in.    The concern over the virus has undoubtedly impacted on the hotel and occupancy rates are very low, this was a double edged sword as it meant the public spaces were missing the vibe you might have expected, the up side is that the pool area was neverâ€¦",Mar-20,,
"Mandarin Oriental, Singapore",Mar-20,5,Celebrated Birthday!,"Very comfy and peaceful accommodations, Service was friendly straight from the entrance till the end! Requested birthday decor and was very impressed! Not to forget the scrumptious breakfast and the Bay view from our room! 10/10 recommended!",Mar-20,,
"Mandarin Oriental, Singapore",Mar-20,5,Incredible first stay.,"Our first time Singapore... and certainly wonâ€™t be the last, thanks to this wonderful hotel. We had booked club rooms, and were thrilled to be upgraded to Club Marina view on arrival, on the same level (19th) as the executive club. The lounge was extremely good value. Breakfast... afternoon tea... evening canapÃ©s... evening cocktails... all day drinks... and exceptional staff. We were especially looked after by Matthew and Xin Fang. They represented the MO brand so well... and were incredibly welcoming and friendly. Matthew made great recommendations throughout our staff which really made our trip extra special, and Xin Fang was never without a smile, and always pleased to see us... even remembering our daily drink routine! We were sad to leave after 4 nights. A special thankâ€¦",Feb-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Excellent!,We have stayed at some wonderful hotel chains around the world and this was our first time trying out MO and it exceeded our expectations even with the limitations due to Covid! Room had such a stunning view both day and night and service was immaculate! ðŸ˜,Sep-20,,
"Mandarin Oriental, Singapore",Dec-20,1,COVID-19,"New Year's Eve splurge done a few months ago.  Almost cancelled when Mandarin Oriental Singapore has 13 confirmed COVID cases and 8 suspected staff!  Decided to go ahead despite Mandarin Orchard shut down for cleansing by Singapore Government...  BUT!!!  THIS PLACE IS SHOCKING!  it appears like nothing has been cleaned properly.  Sanitasation is important to ensure the control of COVID, but a lot of the room wasn't even cleaned properly!!!",Dec-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Staycation @Mandarin Oriental,"I have 2 toddlers and staycation used to be difficult for us but @ Mandarin, staff were all very accomodating and made our stay convenient and super FUN!!!  Special mention to people at concierge Sy & Rolando. You guys are Superstars! ðŸ‘ðŸŒŸâ­ï¸",Sep-20,,
"Mandarin Oriental, Singapore",Nov-20,5,Amazing experience,"Stayed over for an anniversary.  MO took the effort to personalize the experience. Good and efficient check in and out processes, good rooms with amazing views. Will definitely book and return in the future.",Nov-20,,
"Mandarin Oriental, Singapore",Dec-20,5,Excellent service and care,"My partner and I stayed for a special occasion. The wonderful service started with a very personable man and check in, then Katyna was also nearby and spoke to us straight away , offered to carry luggage and then escorted us from the desk to our room. Chatting and finding out about us.   Unfortunately in the evening my partner had some Oysters in the evening and for the first time found out he was allergic. He quickly became short of breath, his throat swelled and went dizzy... it was a bit a great situation. Heâ€™s over 30 and has never had an Oyster as heâ€™s not keen on shellfish but thought he would try! The staff were amazing , I wish I knew all their names , but the duty manager , waiting staff and another member of staff quickly got oxygen, got him on the floor and phoned anâ€¦",Dec-20,,
"Mandarin Oriental, Singapore",Nov-20,3,Housekeeping not done,"Everything was good, except the housekeeping did not do their job. After a long day out, we came back in the evening and expected clean sheets and towels when returned to our room. Shockingly it was still in a mess.",Nov-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Memorable staycation,"As we are unable to travel anywhere during this period, we decided to have a staycation at MO. The package was very value for money. Had a great time at MO, excellent customer service and well kept room. Both adults and children enjoyed the stay. Highly recommended!",Sep-20,,
"Mandarin Oriental, Singapore",Sep-20,4,Quality Stay,"Had a blast staying at Mandarin. The staff at concierge, specially Sir Rolando and Ms. Sy are very helpful and kind during our stay. The view was very nice and had taking pictures. Hope to comeback on New year's eve.",Sep-20,,
"Mandarin Oriental, Singapore",Nov-20,5,Great experience!,"Overall the staycay was memorable, would like to especially thank Bobby Wong for his great service! Love the birthday surprise from the hotel, the facilities, and nice view from the room I stayed. Iâ€™ll definitely recommend this hotel to other friends ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»",Nov-20,,
"Mandarin Oriental, Singapore",Nov-20,5,Service Excellence,"Iâ€™d like to congratulate and thank you for the wonderful stay at MO Singapore. From those who managed our booking, the sales and reservations team, Juliana, Midori, Lizbeth, Shabana, and those whom we had the delight and privilege of experiencing service from, Jothi (housekeeping) and Alan (Melt Cafe), Gordon, Gi, and many others on the dinner and breakfast floor, we are blown away by the whole experience of your hospitality. The little details do not escape you. We really appreciate the warmth, sincerity and genuine care from all your staff. The gravity of concern they take in maintaining your standard of excellence is invaluable. Once staff are on the service floor, they are professional, pleasant, cheerful, warm, ready to serve. Communication between staff is faultless,â€¦",Nov-20,,
"Mandarin Oriental, Singapore",Nov-20,3,Welcome to 1987!,"There are so many things that I did not appreciate during my stay at this hotel. Let's start with the bedroom itself. I chose a suite with a living room. The bedroom has two single beds. I had never seen such small, uncomfortable beds with rough sheets. The rollaway bed for my 4 year old daughter was wider. The bathroom is dated with a very small tub. As for the toilet cabinet, it is big but completely empty and covered with plaster on the walls. Another thing that I disliked, the lightings, It is not possible to turn off some lamps. In the living room, there is only one master button to turn everything on or off. So at night you only have two options, watch TV blinded by all the lights or in complete darkness. In terms of service, the staff is very nice and welcoming, nothingâ€¦",Nov-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Excellent stay even for 1 night!,"I and my wife stay here for a night on 16th -17 September 2020 and it was and excellent staycation experience.The deluxe room is spacious and I love the welcoming balloons message.Nice personal touch.Only thing that I find weird is that the toilet bowl don't have water pipe,maybe due to the design.Room is bright,clean and airy.Bed is comfy and soft.There is no mini bar that I can find there,but I could be mistaken.Experience a minor room power out,but was promply and pleasantly attended to by your maintenence staff.Overall it is in my recommendation book !",Sep-20,,
"Mandarin Oriental, Singapore",Nov-20,5,Staycation,"Awesome ocean view! Welcomed by warm and polite MO staffs, especially during breakfast CK (At Melt cafe) had received my family and myself well , ensured all our orders have arrived despite the little waiting time, not forgetting his Smile bringing to the customers. (Keep up, consistency and passion preservance!) Definitely recommend MO to friends and families! Thanks for making our stay wonderful, every efforts frm MO staffs make the place cozily felt!   Regards, ðŸ™†ðŸ»â€â™€ï¸DT",Nov-20,,
"Mandarin Oriental, Singapore",Nov-20,5,Delightful getaway @Oriental,Marina Bay facing was good value with excellent view of the Marina Bay area and beyond! Breakfast served ala carte style at Melt Cafe and the dinner package (3-course meal) were thoroughly delicious and enjoyable!,Nov-20,,
"Mandarin Oriental, Singapore",Nov-20,5,Nice stay,"Overall stay is great except for the pillow, the pillow is too soft and canâ€™t really sleep well with the pillow. â˜¹ï¸ I am not sure if we can ask for a change in pillow, but now I am regret that I did not ask during our stay.",Nov-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Excellent,"I enjoyed my stay at Mandarin Oriental. Excellent service from the receptionist (Midori) who showed us to our room and also the friendly waiters at the restaurant, Dolce Vita. Thank you so much for everything.",Sep-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Staycay 2020,"Family get away during this year COVID. Canâ€™t travel but ended up with a wonderful experience with mandarin oriental. Couldnâ€™t have asked for more, awesome hospitality and service! Will want to be back for sure",Sep-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Well executed staycation!,"Celebrated our 3rd Anniversary at MO and I must say it has been a satisfactory one from the time of check-in to check-out. Special mention to Mamat and Aisyah from the Front Office and Faizal from Melt Cafe, who was working tirelessly from Dinner time to Breakfast the next morning! Keep up the good work and continue to live up to the expectation for the brand!",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Excellent Staycation ðŸ˜Š,"We stayed for 3D2N and were provided with a wonderful staycation experience ðŸ˜Š We would like to specially thank Michael Pasia and his team for their hardwork to make our experience the best! We made many unforgettable memories together with Mandarin Oriental's great service and facilties such as the swimming pool, awesome view from the room, breakfast from Melt Cafe and drinks from MO Bar. Michaelle from MO Bar was very polite and made us feel comfortable!  Thank you for making our staycation a happy one! ðŸ¥°",Oct-20,,
"Mandarin Oriental, Singapore",Nov-20,5,Mandarin Oriental Hotel Singapore Staycation 13-15Nov2020,"Reception - Professional and efficient service.  Room - The Marina Bay View from my room was beyond fantastic. I felt relaxed sitting on the sofa near the window doing absolutely nothing. So therapeutic   Mo Bar - The drink's menu is extensive. The cocktails are to die for. Super refreshing and delicious ðŸ˜‹   Melt Cafe - The staff were extremely friendly and joyous. It was Diwali Day and yet the staff who served us (sorry for not asking for your name) sounded very happy and positive. Nothing was too much trouble when I requested something not from the breakfast menu.  Location - Very accessible. Nearby attraction such as shopping, dining,nightlife and tourist attractions. It is so near to Marina Area and yet not overly crowded.   Thank you Mandarin Oriental Hotel for suchâ€¦",Nov-20,,
"Mandarin Oriental, Singapore",Aug-20,5,Healthcare offers,"Super friendly and humble staffs! Love the hotel view and good location as well! Baby friendly place, received complimentary babycot and sweet gift from housekeeping. The room, breakfast and swimming pool were fantastic! Love our stay sooo much!",Aug-20,,
"Mandarin Oriental, Singapore",Aug-20,5,Cold Reception-Super Warmth Club-Invitation accepted,"An invitation well accepted by who i named Mr ""Hairdo"" or my partner prefer to call him Mr ""Poisy-Heels""  Matt from the club. He invited us to do our first tripadvisor review, shared by him as a contribution to ""society of staycation-ers"" [laughs] informing them of an encouraged choice and to also show the socity that we have very well enjoyed Mandarin Oriental's supreme service & experience.   A warmth and loving staff who we believe was the only one that went to all table to apologies for the wait which was merely 15mins [PLEASE FUTURE STAYCATION-ERS be patient and wait!!! there is no hurry since you are having a Stayca] for their food and checking everyone to know whether the food was suitable for them. Fruits was served by a malay gentlemen the moment our drinks were servedâ€¦",Aug-20,,
"Mandarin Oriental, Singapore",Oct-20,1,Horrible experience,"Booked MO staycation package for 2 rooms from 17 to 18 Oct 2020 for family of 4 of us. We managed to check in one of the room(room 1538) at 1.30pm and was notified that the other room wasn't available yet. We waited patiently in room 1538 but decided to call the Duty Manager at 4.30pm to check whether the other room is ready. After waited for more than 30 minutes and received no response from the Manager, I decided to visit the front office check-in counter personally instead. Managed to speak to the Manager Ian and it was already at 5pm and yet we were informed by him that the room is still not ready. I reminded him that even though we paid for the MO staycation package and the check in time is 12pm(upon availability), however we did not expect for early check-in but just hopeâ€¦",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,I will always choose Mandarin Oriental,"Last 22-23 October, my friend and I stayed in MO to rest from the business of work, and we loved it there! The service is superb and the people are extremely friendly. They are attentive to our needs and are always ready to offer their assistance.  Last 22-23 October, my friend and I stayed in MO to rest from the busyness of work, and we loved it there! The service is superb and the people are extremely friendly. They are attentive to our needs and are always ready to offer their assistance.   We were welcomed by friendly staff upon entering, and ushered with smiles to the concierge area. We were handed messages and announcements about they efforts to ensure a safe stay for us despite the pandemic. Their assurance of maintaining cleanliness in the hotel gave us peace of mind. Weâ€¦",Oct-20,,
"Mandarin Oriental, Singapore",Aug-20,2,Not Up To MO Standard,"Checked in today as part of a short â€œstaycationâ€ during COVID-19. Pre-arrival service was excellent, despite the information on available benefits through the website being inaccurate (the service team addressed this well). Unfortunately the first day has not progressed positively. Sadly minor, but consistent issues take away from what should be a great experience. Check in is super slow - even with all the booking information submitted online - and on arrival you are given a schedule of what is or isnâ€™t open in the hotel (restaurants and bars) - this is frustratingly completely inaccurate as randomly discovered when you find the poolside bar has always been open all afternoon (the schedule itself and the concierge / reception staff state itâ€™s closed). Rooms are fine if a littleâ€¦",Aug-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Suprise Wedding Proposal!,This being my first experience with Mandarin Oriental was a memorable and extra special one because I proposed to my then girlfriend! Special thanks for the lovaly Ms Jessica from Guest relations who showed me various rooms prior to the actual day and coordinating to make this suprise proposal a success!  The staff of Mandarin Oriental were all very warm and friendly which made our stay very enjoyable and we look forward to returning in the near future!,Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,4,MBS view room,All the staffs are very friendly especially the housekeeper- MS Jothi. She is very helpful and kind. The room is very comfortable especially the bed. Will revisit again if thereâ€™s any goo promotion ðŸ˜Š,Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Best Staycation Ever ðŸ¥°,"We'd like to thank Mr. Michael Pasia and his team for giving us the best staycation experience possible! We stayed from 18-20 October, and were treated very well. Apart from the topnotch service,  ambiance of the hotel was incredible too! The view from our room was amazing! Breakfast was commendable as well! Michaelle from the MO Bar was so accommodating and attentive to our needs too!  Keep up the good work MO team! ðŸ¥°  Once again, thank you for making us happy during our stay! :)",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,3,Wonâ€™t go back,"I think this is the worst hotel experience I have ever had. 5-star view (my room faces the Singapore Flyer) 2/3 star service and 3 star food.   2/3-star service: 1) we arrived at 3pm and were told the room was not ready and someone would call me when the room is ready. So we waited (fortunately they let us use the pool so my 5-year-old can be entertained). 5pm still no call and my kid got really tired so I went to ask and was told the room under my name is still dirty however they would give us another room. Why werent we given another room earlier? Clearly they forgot the waiting guests.  2) the staycation was to celebrate our anniversary and I called reservation desk a few days earlier and was told theyâ€™d arrange a cake. But of course they have forgotten.   3) during stay, weâ€¦",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Awesome 10th Anniversary Celebration!,"Customer service is top notch! Love the little details that they when to make our stay special! Housekeeping, room decors and prompt service is remarkable! I will go back and stay again anytime! Thank you for making our stay and celebration a very special one!",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Great Staycation !,"Room and service were top level ! Great experience :) We went to spend a staycation with my wife and son, we really enjoyed the quality of the room, the service provided by the staff, the dining options and location",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,The Perfect Getaway,"It was a getaway for the missus and I after 8 months of working almost daily including the weekends. Her birthday was the perfect reason to indulge and give ourselves a little treat.  But what a treat we were in!  A quick seamless check-in at 4pm on Monday afternoon, a personalised guide and quick tour/introduction of our room overlooking the Bay before leaving us to our own.   The room was extremely spacious and had everything the missus needed, full length mirror, bathtub, lounging balcony and a view for the gramâ€™. The team at MO went a step further and decorated the room with balloons and a cake for her birthday.   Quick recommendations from the concierge and we took a stroll to Marina Bay Sands for drinks at dinner.   Upon our return, we found another treat from the MO team,â€¦",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,4,Good,"location & view is great, my husband and me have a great time. Staff are friendly and helpful toward my requests. They have prepared cake & balloon in advance to celebrate my husband's birthday. Recommended.",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Staycation,"Wonderful service and professionalism from all the staff, great experience. Concierge Rolando and waiter Ganesan was helpful too. Staff were all friendly as well. Will definitely return to Mandarin Oriental",Oct-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Honey moon Staycation,"We had a wonderful experience. Almost everything were above our expectations. The Pool is clean,  breakfast was delicious, receptionist were polite and patient,  especially Mr Bobby Wong,  who remembered my request and go for extra miles . We Will definitely visit again ðŸ‘",Oct-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Wedding anniversary,We had a great stay  in Mandarin Oriental Singapore.We didnt expect that the  hotel has prepared and exerted much effort to make the day more special for me and my hubby.It was awesome and it made our wedding anniversary More meaningful.,Sep-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Excellent,Book a night hotel stay to celebrate my fiance birthday. I enjoy the view and the complimentary upgrade! Thanks for the decorations for my fiance birthday and the cake too! I also enjoy the breakfast at melt cafe and the swimming pool! Will definitely come again!  #fansofmo,Sep-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Staycation - Birthday Celebration,"Booked for two nights for a friendâ€™s birthday celebration and the experience was awesome! From booking the room to our departure, overall the staff were very helpful and patient about all our requests and queries that surely made our stay enjoyable!  Just a few comments to note.. Upon arrival in the hotel, entrance seemed really quiet and we didnâ€™t feel welcomed by the other staff who was in front of the other door. Then Mario came shortly who was  welcoming and friendly and even offered to bring our things. We also had a pleasant check-in with Bobby who also assisted us to our room. Our roomâ€™s view and location, fronting the Marina Bay, was spectacular and just what my friend had envisioned for her birthday! Of course, a BIG shout out to the guest relations team who helped meâ€¦",Sep-20,,
"Mandarin Oriental, Singapore",Sep-20,5,Amazing Stay - Canâ€™t wait to return!,"Easily one of the best staycations I have had. View from the room was lovely. Service was first class - staff paid attention to even the smallest details. Gym was well equipped and staff stationed at gym was able to help teach the proper use of gym equipment and correct form. Thoroughly enjoyed the food at MO - breakfast at Melt was easily one of the best hotel breakfast I have had. Though not as extensive as pre-covid times, selection was enough to satisfy. While the Nasi Lemak was the star of the breakfast buffet, the omelette and sausage were delectable too. Dinner at Mortonâ€™s completes the staycation - loved the steak, wine and the chocolate lava cake. Really enjoyed chilling by the poolside with poolside snacks. What more can one ask for? ðŸ‘",Sep-20,,
"Mandarin Oriental, Singapore",Mar-20,4,Great location that brings back memories,"First and foremost, many thanks to Patricia from the reservation team who has been very passionate and patient in answering all my queries relating to this Staycation package. She has made it easier for us to buy this Staycation package among what the rest of the hotels are offering, during this March school holidays.  She was patient, professional and able to answer all my queries in the finer details. As this package includes nerf xperience and/or duck tour+funvee night city tour, we decided to stay 1 more night to ensure our family enjoy this to the fullest! We can really feel the great MO service even before we step our feet in the hotel. Because of her great service, we booked 3D2N (14Mar-16Mar2020). We continued to be impressed, at our arrival, where we met Sun (or Mrâ€¦",Mar-20,,
"Mandarin Oriental, Singapore",Jan-20,5,The Perfect Hotel,We stayed at the MO for 5 days during Christmas The service from the airport pickup to the drop off was exemplary  The hotel has the best location in Singapore directly facing the Marina Bay and you can walk everywhere  The breakfast and hotel restaurants were  outstanding .  MO is an Elegant and sophisticated hotel with unparalleled views I look forward to our next visit,Dec-19,,
"Mandarin Oriental, Singapore",Jan-20,5,Singapore Sling,"Fantastic experience, the accommodation is first class and the service from the hotel staff couldnâ€™t be bettered anywhere. We dined at the Dolce Vita restaurant, the food was excellent and John and Michelle, who served us, were exceptional.",Jan-20,,
"Mandarin Oriental, Singapore",Jan-20,3,Underwhelming at almost every level,"Full disclosure: this was my first stay at a Mandarin Oriental property, so perhaps my expectations werenâ€™t realistic. I assumed it would be on par with a St. Regis, Four Seasons, Ritz Carleton or Peninsula hotel in Asia. It definitely wasnâ€™t in essentially any dimension. Hereâ€™s why:  Rooms:  I booked a suite for my family. It was spacious but extremely tired. It has probably been 20+ years since it was remodeled and it looked that way, especially in the bathrooms. I would put it on par with an older Sheraton or Westin property. The beds were also not particularly comfortable.  We had booked the reservation for 4 people (2 adults and 2 kids). They brought in one rollaway bed. I had assumed they would make up the big couch for my other kid to sleep on. Both nights, they left someâ€¦",Jan-20,,
"Mandarin Oriental, Singapore",Dec-20,5,Wonderful- will definitely be back!,"My husband and I brought our toddler for a staycation at Mandarin Oriental and we just checked out a couple of hours ago. Will we be back? YES!  After reading the horror check in stories for other hotels over the weekend, we were rather afraid as I donâ€™t think we can wait even more than an hour with a fussy toddler. To our surprise, we could check in EARLY. Without waiting more than 10 minutes. Already a wonderful start!   We booked the Ocean Grand Room and it was very clean. View was good and my toddler loved looking at the vehicles zooming past. It was beautiful at night as well. Only problem we had with the room was that the shower wasnâ€™t working- only extremely hot water came out. We werenâ€™t comfortable with people coming in to fix due to the current pandemic situation so weâ€¦",Dec-20,,
"Mandarin Oriental, Singapore",Oct-20,5,Their Service Tops it All,"Stayed at Mandarin Oriental over the weekend. It has been quite a long time I have not stepped foot on this hotel. The hotel is still miraculously able to hide all the signs of aging at the age of 30+, as it opened the door in 1987. The hotel's last renovation probably was done a decade ago and I can vividly remember the hotel was closed entirely for a good 3 months. It was a transformation.   The hotel was designed by the renowned architect John Portman, known for his Atrium lobby. After so many years, I still irresistibly look up the spiral view of the atrium in awe.   The room of this luxury brand is not the largest compared to other 5 star hotels within the vicinity nor the in-room design is the swankiest amongst their rivals, not to name them to protect their interests.â€¦",Oct-20,,
"Mandarin Oriental, Singapore",Jan-20,5,Mandain oriental singapore review,Staff's service was ðŸ‘ Room condition is classic but very clean  Room view was excellent!   Variety food was so delicious ðŸ˜‹ Swimming fool was some what simple but it was very suitable to our family!!!!!,Jan-20,,
"Mandarin Oriental, Singapore",Jan-20,3,Great views from high end rooms but let down by poor service,"Our first impression was that the Lobby is too dark and a bit cramped with no place to sit. People were milling everywhere and it gave the impression of chaos. Check In was quick but not particularly friendly. No explanation was given about why we were charged more than our confirmed rate, nor was any explanation given about breakfast or the hotel facilities. We were given our keys and told where the lifts were and that was it. We were tired so we went to our room and then realised they overcharged us. So, we went downstairs and spoke to a different person, who explained the extra amount was for an extra night that would be refunded. She also answered our questions about shopping malls near by and the best way to go to marina bay sands, even going so far as to walk us outsideâ€¦",Dec-19,,
"Mandarin Oriental, Singapore",Sep-20,5,great service at mandarin oriental,"thanks for the wonderful experience at mandarin oriental. special thanks to rolando and chloe for serving us. the food at dolce vita and MO bar was great too, the cocktails were awesome!! will be back again",Sep-20,,
"Mandarin Oriental, Singapore",Feb-20,5,Wedding,"We held our wedding in MO Singapore. It was one of the best choices we made. We were blessed to have nice and good coordinators (Lynette, Ivy and Zann) handling us. Grateful to have them help us plan for our special day. Food and service were great! Kudos to Banquet Manager Murphy and Chef Tan and the rest of the banquet staffs! Guests thought we upgraded the menu which we didnâ€™t. Everyone enjoyed on the day itself! Thumbs up!!",Feb-20,,
